conversation_id_str;created_at;favorite_count;full_text;manual_labeling;id_str;lang;status_id;tweet_url;user_id_str
2,01E+23;Tue Dec 30 11:05:48 +0000 2025;0;@DesWira15 @FaGtng Hilirisasi digital adalah strategi untuk mengolah bahan baku digital seperti data menjadi produk bernilai tinggi mirip hilirisasi industri. Contoh: bangun data center kembangkan AI dan blockchain untuk ciptakan lapangan kerja dan tingka;peluang;2,01E+18;in;2,01E+18;https://x.com/i/status/2005958494277542173;1,72E+18
2,01E+23;Tue Dec 30 04:13:26 +0000 2025;7;@FaGtng SMA SAJA TIDAK LULUS KERJA DICARIKAN ORANG TUA DAN PAMANNYA .... PAKAI NGOMONG TENTANG AI HILIRISASI DIGITAL DAN MENCIPTAKAN LAPANGAN KERJA .... DASAR KELUARGA PENIPU ....;peluang;2,01E+18;in;2,01E+18;https://x.com/i/status/2005854719084798223;240207283
2,01E+23;Mon Dec 29 23:02:27 +0000 2025;0;gausah marah atau nganggap gue arogan atau apapun nyatanya yang tergantikan AI katanya itu ya karna emang mereka ga punya skill ga ada AI pun belom tentu bisa bersaing ditengah lapangan kerja yang sedikit dan orang orang yang terus berkembang tiap saat;ancaman;2,01E+18;in;2,01E+18;https://x.com/i/status/2005776457826816291;3123971739
2,00E+23;Tue Dec 23 09:11:59 +0000 2025;3;@Duren___ @NgkongRoses Padahal ai dan codinglah yang akan membuat lapangan kerja mengecil?;ancaman;2,00E+18;in;2,00E+18;https://x.com/i/status/2003393137667080672;1,61E+18
2,00E+23;Mon Dec 22 14:11:30 +0000 2025;2;@Ary_PrasKe2 Bu guru rupanya gak paham apa yg dikatakan mas wapres. AI dan Coding adalah wujud dari 19 jta lapangan kerja yg dijanjikan AI dan Coding diperuntukan bagi pengangguran sebagai ganti pekerjaan formal;ancaman;2,00E+18;in;2,00E+18;https://x.com/i/status/2003106121935172023;1,90E+18
2,00E+23;Wed Dec 17 14:56:31 +0000 2025;0;Wapres muda dan visioner. 19 jt lapangan kerja pasti terwujud stlh 12 thn. Semua hrs bertahap. Dimulai dari pendidikan AI dan coding sejak SD. Otomatis stlh 12 thn 19 bahkan 190 juta lapangan kerja tercipta berkat AI dan coding. Beruntung rakyat punya wapres seperti Gibran.;peluang;2,00E+18;in;2,00E+18;https://x.com/i/status/2001305511820480835;7,21E+17
2,00E+22;Wed Dec 17 14:48:16 +0000 2025;0;@WagimanDeep212_ Ternyata 19 juta lapangan kerja yg dijanjikan baru akan tercipta 12 thn kedepan. Dimulai dari pendidikan AI dan coding sejak SD. Untuk saat ini Gibran blm dpt membuat 19 juta lapangan kerja krn pendidikan AI dan coding baru akan dimulai.;netral;2,00E+18;in;2,00E+18;https://x.com/i/status/2001303436508422359;7,21E+17
2,00E+22;Wed Dec 17 12:13:03 +0000 2025;0;@WagimanDeep212_ Presidennya konsen pada pendidikan eh wakilnya nggak nyambung pendidikannya makanya ditanya 19jt lapangan kerja malah jawab penguasaan AI dan coding bener bener fufufafa nih wapres lagian yang nanya nya kok soalnya berat banget hrs nya di;netral;2,00E+18;in;2,00E+18;https://x.com/i/status/2001264377266405403;2778111098
2,00E+23;Wed Dec 17 11:59:34 +0000 2025;0;@ykuarina Terus hubungannya lapangan kerja sama AI dan Coding apa anjrit itu kan yang pada nganggur udah pada selesai sekolah semua;netral;2,00E+18;in;2,00E+18;https://x.com/i/status/2001260983533359434;1,57E+18
2,00E+23;Wed Dec 17 05:01:33 +0000 2025;0;@__AnakKolong Mereka pemilihmu pak @prabowo bantulah pulihkan keadaan mereka dan bukakan lapangan kerja untuk mereka. Jangan lupa wapres muda yang cerdas juga wajib bertanggung jawab @gibran_tweet jangan hanya bisa ngomong soal AI sama coding doang yang g;netral;2,00E+18;in;2,00E+18;https://x.com/i/status/2001155783669768581;1,85E+18
2,00E+23;Wed Dec 17 01:04:29 +0000 2025;1;@Terserahdeh97 Hai Pengangguran... Pemerintah sudah menyediakan 19 juta lapangan kerja Belajar Coding dan AI. Solusi Cerdas untuk menahan perut LAPAR;netral;2,00E+18;in;2,00E+18;https://x.com/i/status/2001096123411517927;1,90E+18
2,00E+23;Tue Dec 16 22:19:07 +0000 2025;0;@vinc_dev5 @Southernsevn Berdasarkan analisis video lengkap dari SCTV Gibran Bicara (Des 2025) jawaban Gibran soal janji 19 juta lapangan kerja koheren fokus pada pendidikan AI dan coding untuk persiapan SDM. Tidak ada tanda edit manipulatif yang jelas me;peluang;2,00E+18;in;2,00E+18;https://x.com/i/status/2001054508307145171;1,72E+18
2,00E+23;Tue Dec 16 20:36:51 +0000 2025;0;@NovalAfrial @Terserahdeh97 Gibran menjelaskan bahwa penciptaan 19 juta lapangan kerja bergantung pada persiapan SDM melalui pendidikan. Ia prioritaskan Kementerian Pendidikan untuk ajarkan AI coding dan computational thinking agar tenaga kerja siap hadap;netral;2,00E+18;in;2,00E+18;https://x.com/i/status/2001028772183568689;1,72E+18
2,00E+22;Tue Dec 16 08:10:09 +0000 2025;2;@WagimanDeep212_ Ini Gibran goblok apa cerdas yang ditanya terkait urgentinya lapangan kerja jawabannya AI dan coding Kalo coding itu robotik karena semua dimonopoli mesin sementara yg dibutuhkan padatkarya sesuai kondisi ketrampilan yang ada di masyaraka;netral;2,00E+18;in;2,00E+18;https://x.com/i/status/2000840861517861009;3442511773
2,00E+23;Tue Dec 16 08:07:50 +0000 2025;0;Janji penciptaan 19 juta lapangan kerja kembali menjadi sorotan setelah BPS mencatat pengangguran mencapai 7 46 juta orang per Agustus 2025. Gibran menegaskan pemerintah menyiapkan SDM dan fasilitas pendukung termasuk pelajaran AI dan coding sejak jenjang sekolah untuk https://t.co/YnMw5Kx88M;netral;2,00E+18;in;2,00E+18;https://x.com/i/status/2000840276823433236;1,89E+18
2,00E+23;Tue Dec 16 05:56:02 +0000 2025;0;@Zeefire02 Gak nyambung tanya lapangan kerja jawab coding dan AI. Lu kira om-om umur 30an perlu belajar coding dan AI juga?;ancaman;2,00E+18;in;2,00E+18;https://x.com/i/status/2000807110498718131;1,79E+18
2,00E+23;Sat Dec 13 18:17:15 +0000 2025;12;@tanyarlfes Dan sementara wapres ditanyain soal 19 jt lapangan generasi muda harus belajar AI lalu kementerian ketenagakerjaan ditanyai 19 jt itu adalah tantangan nya. Dan parcok dan Parjo sudah mulai dapat lowongan kerja yg strategis di pemerintahan;netral;2,00E+18;in;2,00E+18;https://x.com/i/status/1999906479172940171;1,82E+18
2,00E+23;Thu Dec 11 22:21:38 +0000 2025;0;@KangManto123 Di mana tanya 19 jt lapangan kerja berarti emang org butuh kerja buat dpt duit kalo belajar ai coding berarti msh belajar di bangku sekolah dan msh minta duit sama ortu;netral;2,00E+18;in;2,00E+18;https://x.com/i/status/1999243202524774486;1,75E+18
2,00E+23;Thu Dec 11 10:59:02 +0000 2025;0;Kapan dia pernah jawab pertanyaan tentang lapangan kerja tanpa ada unsur ai dan coding di jawabannya;netral;2,00E+18;in;2,00E+18;https://x.com/i/status/1999071422271164489;1,49E+18
